"代码","名称","市场","行业分类","分类来源"
"300389","艾比森","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300389&sdate=1990-01-01&edate=2026-07-24）"
"300394","天孚通信","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300394&sdate=1990-01-01&edate=2026-07-24）"
"300408","三环集团","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300408&sdate=1990-01-01&edate=2026-07-24）"
"300414","中光防雷","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300414&sdate=1990-01-01&edate=2026-07-24）"
"300460","ST惠伦","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300460&sdate=1990-01-01&edate=2026-07-24）"
"300476","胜宏科技","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300476&sdate=1990-01-01&edate=2026-07-24）"
"300489","光智科技","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300489&sdate=1990-01-01&edate=2026-07-24）"
"300502","新易盛","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300502&sdate=1990-01-01&edate=2026-07-24）"
"300504","天邑股份","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300504&sdate=1990-01-01&edate=2026-07-24）"
"300545","联得装备","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300545&sdate=1990-01-01&edate=2026-07-24）"
